anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,label
8,20.93.133.2,51142.0,,5061.0,ntscSYN,10,anomalous
9,134.238.129.152,51155.0,,16022.0,ntscSYN,10,anomalous
10,,,,6379.0,dntscSYN,10,anomalous
23,121.179.116.246,,,6379.0,ntscSYN,10,anomalous
64,106.142.128.89,,,6379.0,ntscSYN,10,anomalous
65,218.158.180.173,,,6379.0,ntscSYN,10,anomalous
68,39.83.58.16,50133.0,,2375.0,ntscSYN,10,anomalous
69,39.83.58.16,51196.0,,2376.0,ntscSYN,10,anomalous
101,104.1.84.34,55345.0,,22.0,ntscSYN,10,anomalous
122,218.48.33.238,,,1433.0,ntscSYN,10,suspicious
123,123.129.106.13,,,1433.0,ntscSYN,10,suspicious
124,195.120.13.242,,,445.0,ntscSYN139445,10,suspicious
126,128.191.183.209,,,1433.0,ntscSYN,10,suspicious
128,103.238.248.87,,,445.0,ntscSYN139445,10,suspicious
129,192.195.230.84,,,139.0,ntscSYN139445,10,suspicious
130,182.154.168.93,,,1433.0,ntscSYN,10,suspicious
131,180.142.179.182,,,1433.0,ntscSYN,10,suspicious
132,203.77.239.90,,,1433.0,sntscSYN,10,suspicious
133,119.114.246.167,,,1433.0,ntscSYN,10,suspicious
134,117.165.213.104,,,1433.0,ntscSYN,10,suspicious
135,58.250.130.109,,,1433.0,ntscSYN,10,suspicious
136,113.231.95.129,,,1433.0,ntscSYN,10,suspicious
137,164.165.252.238,,,1433.0,ntscSYN,10,suspicious
138,120.96.38.243,,,6379.0,ntscSYN,10,suspicious
139,47.33.229.34,,,6379.0,ntscSYN,10,suspicious
140,218.49.144.222,,,1433.0,ntscSYN,10,suspicious
141,106.203.188.153,,,6379.0,ntscSYN,10,suspicious
142,39.154.174.158,,,1433.0,ntscSYN,10,suspicious
143,182.236.144.235,,,1433.0,ntscSYN,10,suspicious
144,124.255.112.176,,,445.0,ntscSYN139445,10,suspicious
145,124.255.112.176,,,1433.0,ntscSYN139445,10,suspicious
146,60.224.173.115,,,445.0,ntscSYN139445,10,suspicious
147,183.151.46.139,,,6379.0,ntscSYN,10,suspicious
148,110.171.41.138,,,1433.0,ntscSYN,10,suspicious
149,61.176.26.58,,,1433.0,ntscSYN,10,suspicious
150,118.152.138.74,,,6379.0,ntscSYN,10,suspicious
151,36.146.50.146,,,1433.0,ntscSYN,10,suspicious
152,219.99.253.101,,,1433.0,ntscSYN,10,suspicious
173,47.39.230.158,45479.0,,23.0,sntscSYN,10,suspicious
